"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit"
"1","PREFACE","N.Name.Nom.Sg.Neut","NN","PREFACE",NA,"PREFACE",0,NA,"PREFACE",NA,NA,NA,"PREFACE"
"2",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".","."
"3","VI","SYM.Other.XY","NP","VI",NA,"VI",1,"VI",NA,NA,NA,NA,NA
"4","rent","FM","NN","rent",NA,"rent",0,NA,"rent",NA,NA,NA,"rent"
"5","utility","FM","NN","utility",NA,"utility",0,NA,"utility",NA,NA,NA,"utility"
"6","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of"
"7","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the"
"8","deſign","N.Reg.Nom.Pl.Fem","NN","design",NA,"design",0,NA,"design",NA,NA,NA,"design"
"9",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";"
"10","but","CONJ.Coord.-","CC","but",NA,"but",0,NA,"but",NA,NA,NA,"but"
"11",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",","
"12","probably","ADJD.Pos","RB","probably",NA,"probably",0,NA,"probably",NA,NA,NA,"probably"
"13",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",","
"14","not","ADJD.Pos","RB","not",NA,"not",0,NA,"not",NA,NA,NA,"not"
"15","ſufficiently","FM","RB","sufficiently","sufficiently","sufficiently",0,NA,"sufficiently",NA,NA,NA,"sufficiently"
"16","apprized","FM","VVN","apprized",NA,"apprized",0,NA,"apprized",NA,NA,NA,"apprized"
"17","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of"
"18","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the"
"19","labour","FM","NN","labour",NA,"labour",0,NA,"labour",NA,NA,NA,"labour"
"20","which","VFIN.Full.3.Sg.Past.Ind","WDT","which",NA,"which",0,NA,"which",NA,NA,NA,"which"
"21","was","FM","VBD","was",NA,"was",0,NA,"was",NA,NA,NA,"was"
"22","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to"
"23","attend","FM","VV","attend",NA,"attend",0,NA,"attend",NA,NA,NA,"attend"
"24","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the"
"25","undertaking","FM","NN","undertaking",NA,"undertaking",0,NA,"undertaking",NA,NA,NA,"undertaking"
"26",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".","."
"27","Thus","FM","RB","Thus",NA,"Thus",0,NA,"Thus",NA,NA,NA,"Thus"
"28","we","PRO.Pers.Subst.1.Nom.Pl.*","PP","we",NA,"we",0,NA,"we",NA,NA,NA,"we"
"29","find","FM","VVP","find","find","find",0,NA,"find",NA,NA,NA,"find"
"30","them","ADJA.Pos.Dat.Sg.Neut","PP","them",NA,"them",0,NA,"them",NA,NA,NA,"them"
"31","contenting","FM","VVG","contenting",NA,"contenting",0,NA,"contenting",NA,NA,NA,"contenting"
"32","themſelves","FM","NNS","themselves",NA,"themselves",0,NA,"themselves",NA,NA,NA,"themselves"
"33","with","FM","IN","with",NA,"with",0,NA,"with",NA,NA,NA,"with"
"34","driving","FM","VVG","driving",NA,"driving",0,NA,"driving",NA,NA,NA,"driving"
"35","their","FM","PP$","their",NA,"their",0,NA,"their",NA,NA,NA,"their"
"36","heavy","FM","JJ","heavy",NA,"heavy",0,NA,"heavy",NA,NA,NA,"heavy"
"37","labours","FM","NNS","labours",NA,"labours",1,"labours",NA,NA,"labours",NA,"labours"
"38","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in"
"39","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the"
"40","track","FM","NN","track",NA,"track",0,NA,"track",NA,NA,NA,"track"
"41","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of"
"42","former","FM","JJ","former","former","former",0,NA,"former",NA,NA,NA,"former"
